EXT_SOURCE_3;EXT_SOURCE_2;AMT_GOODS_PRICE;AMT_ANNUITY;CODE_GENDER;DAYS_ID_PUBLISH;DAYS_REGISTRATION;DAYS_EMPLOYED;DAYS_BIRTH;REGION_POPULATION_RELATIVE;YEARS_EMPLOYED;YEARS_REGISTRATION;YEARS_ID_PUBLISH;NEW_CREDIT_TO_ANNUITY_RATIO;NEW_REFUND_PERCENT;NEW_CREDIT_TO_GOODS_RATIO;NEW_INCOME_PER_PERSON;NEW_EMPLOY_TO_BIRTH_RATIO;NEW_ANNUITY_TO_INCOME_PERCENT;BURO_DAYS_CREDIT_MAX;BURO_AMT_CREDIT_MAX_OVERDUE_MEAN;ACTIVE_DAYS_CREDIT_MAX;ACTIVE_DAYS_CREDIT_ENDDATE_MIN;ACTIVE_DAYS_CREDIT_ENDDATE_MAX;ACTIVE_DAYS_CREDIT_ENDDATE_MEAN;ACTIVE_DAYS_CREDIT_UPDATE_MEAN;CLOSED_AMT_CREDIT_SUM_SUM;PREV_APP_CREDIT_PERC_MEAN;PREV_HOUR_APPR_PROCESS_START_MEAN;PREV_CNT_PAYMENT_MEAN;TARGET;SK_ID_CURR
0.4974688893052743;0.2024861891274477;675000.0;36328.5;1;-4105;-2561.0;-3134.0;-15266;0.031329;8.59;7.02;11.25;20.78781122259383;4.8105112620665;1.1188;52500.0;0.2095121951219512;23.06571428571429;-790.0;303.75;-790.0;0.0;305.0;152.5;-30.5;417829.5;1.12500673818123;10.0;2.0;0;104751
0.6674577419214722;0.5613953483321269;675000.0;23773.5;1;-3306;-4670.0;-5642.0;-22906;0.01885;15.46;12.79;9.06;34.01476433844407;2.939899833055092;1.198;135000.0;0.2493548387096774;17.61;-1655.0;0.0;-1655.0;0.0;0.0;0.0;-802.0;490097.7;1.2400291990178511;15.666666666666666;14.666666666666666;0;104786
0.3154721549257734;0.2387781764778277;450000.0;21109.5;1;-2741;-547.0;-578.0;-11386;0.006629;1.58;1.5;7.51;21.317416329140908;4.691;1.0;112500.0;0.0509677419354838;9.382;-36.0;0.0;-36.0;0.0;10562.0;2209.6;-96.2;435066.57;0.9498666123331316;7.0;6.0;0;105060
0.5352762504724826;0.7216252143496428;450000.0;24259.5;0;-777;-7295.0;-2425.0;-17228;0.04622;6.64;19.99;2.13;26.384715266184383;3.7900731158605176;1.4224;135000.0;0.1412765957446808;8.985;-300.0;0.0;-264.0;85.0;1021.0;620.0;-30.0;435066.57;0.9725788556031068;13.0;6.0;0;105902
0.1482543790610911;0.1703080016699015;315000.0;15750.0;1;-5126;-3075.0;-2278.0;-14200;0.025164;6.24;8.42;14.04;20.0;5.0;1.0;112500.0;0.1642105263157894;14.000000000000002;-491.0;0.0;-527.0;0.0;1130.0;565.0;-8.0;776337.3;1.081535604743375;13.636363636363637;12.545454545454543;0;109938
0.1455428133497032;0.5964181157109354;225000.0;11250.0;1;-2240;-8695.0;-4590.0;-18692;0.010276;12.58;23.82;6.14;20.0;5.0;1.0;67500.0;0.2466666666666666;8.333333333333332;-49.0;0.0;-49.0;256.0;1406.0;661.0;-12.333333333333334;241285.5;1.0290980419791256;14.4;14.8;0;113600
0.1766525794312139;0.6503919690347918;900000.0;40671.0;0;-3274;-4624.0;-1557.0;-12947;0.006629;4.27;12.67;8.97;22.12878955521133;4.519;1.0;270000.0;0.1219999999999999;7.531666666666667;-345.0;2640.105;-345.0;202.0;27420.0;9439.0;-17.666666666666668;235073.52;0.7853025936599424;5.0;12.0;0;118839
0.6832688314232291;0.5563007435444174;157500.0;11034.0;1;-3926;-2713.0;-2370.0;-14187;0.018634;6.49;7.43;10.76;16.158238172920065;6.18879353861686;1.132;33000.0;0.1707894736842105;11.145454545454546;-321.0;0.0;-321.0;775.0;775.0;775.0;-13.0;513715.95;1.0087528190808126;12.666666666666666;7.333333333333333;0;119407
0.5352762504724826;0.3047377221962975;180000.0;9000.0;0;-5049;-3272.0;-2814.0;-15864;0.005313;7.71;8.96;13.83;20.0;5.0;1.0;30000.0;0.1793023255813953;10.0;-300.0;0.0;-264.0;85.0;1021.0;620.0;-30.0;435066.57;0.9044886938913264;18.0;12.0;0;119497
0.4848514754962666;0.2949143521277512;468000.0;19471.5;1;-4112;-3395.0;-1681.0;-20753;0.018209;4.61;9.3;11.27;27.842385024266235;3.591646330328536;1.1584038461538462;67500.0;0.0823214285714285;14.423333333333332;-147.0;0.0;-147.0;16.0;785.0;320.25;-59.25;435066.57;0.9809096599207175;7.0;10.0;0;120783
